BOBROVO#1,17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
BOBROVO#1,6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
YASENEVO#1,1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
YASENEVO#1,12                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
YASENEVO#10,11                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
YASENEVO#10,22                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
YASENEVO#2,13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
YASENEVO#2,2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
YASENEVO#3,14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
YASENEVO#3,3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
YASENEVO#4,15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
YASENEVO#4,4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
YASENEVO#5,16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
YASENEVO#5,5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
YASENEVO#6,18                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
YASENEVO#6,7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
YASENEVO#7,19                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
YASENEVO#7,8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
YASENEVO#8,20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
YASENEVO#8,9                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
YASENEVO#9,10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
YASENEVO#9,21                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
