5XYPH4A10GG021831,15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
5XYPH4A10GG021831,4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
JM1BL1M58C1614725,17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
JM1BL1M58C1614725,6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
JM1BL1TFXD1734246,16                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
JM1BL1TFXD1734246,5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
KNAGH4A48A5414970,14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
KNAGH4A48A5414970,3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
KNAGM4A77D5316538,1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
KNAGM4A77D5316538,12                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
LC1BL1M58C1614729,11                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
LC1BL1M58C1614729,22                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
LNAGM4A77D5316648,13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
LNAGM4A77D5316648,2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
VC1BL1M58C1614725,18                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
VC1BL1M58C1614725,7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
WC1BL1M58C1614727,20                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
WC1BL1M58C1614727,9                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
XC1BL1M58C1614728,10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
XC1BL1M58C1614728,21                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ZC1BL1M58C1614726,19                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ZC1BL1M58C1614726,8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
